,speech
5587," Muchas gracias, diputado presidente. La pedí para hechos, espero que hoy sí me escuchen. Compañeros, en un ambiente más sereno, miren. Yo he participado en muchísimas protestas afuera de esta Cámara. Hemos intentado cercar cuando la reforma laboral que no ingresaran los legisladores para evitar que liquidaran los derechos de los trabajadores. Fue a finales de 2012."
5588," Gracias, señor diputado. Se ha agotado su tiempo."
5589," Termino, diputado presidente."
5590, Por favor.
5591,"Termino. No sabía, como no me dijo tiempo, pero ya termino..."
5592, Se lo pusieron ahí reglamentariamente.
5593," Mis compañeros panistas, con mucho cariño les mando un abrazo navideño, y resolvamos este tema. Muchas gracias por su atención."
5594," Gracias. La Mesa ha tomado una determinación: tanto la agresión para ingreso a la sala, al recinto, como el asunto de los empujones a Martha Tagle. Vamos a empezar la sesión. Vamos a esperar a que haya información."
5595,(desde la curul): Presidente.
5596," A ver, compañero. No, desde su curul. No, desde su curul. Diputado Toledo, le he rogado que lo haga desde su curul. Se autoriza por antecedente."
5597,"Con su venia, diputado Porfirio. La verdad, diputadas y diputados, desde el día de ayer ya iniciaron las agresiones."
5598, Concluya.
5599," Pues le llamo al presidente de la Mesa Directiva que no esté, usted tiene que velar por la institución de los 500 diputados, y no puede señalar al diputado Ismael, con nombre y apellido, cuando hay otras organizaciones campesinas de otros partidos. Es cuanto."
5600," Compañeras y compañeros, dimos la información que teníamos, empieza la investigación, y continuemos..."
5601,(desde la curul): Presidente.
5602,"Preciado, por último. Preciado e Ismael, y se cierra el asunto."
5603," Gracias, presidente. Yo llamaría a los grupos parlamentarios a que cuidemos el orden dentro y fuera de la Cámara, pero también solicitaría a la Presidencia que revise el tema de seguridad, que revise a los elementos que hoy agredieron a nuestros compañeros."
5604,"Compañero, se le ha acabado su tiempo."
5605," No dejan hablar, presidente. Además de una mayoría irresponsable son una mayoría hipersensible. Ojalá y no estemos lastimando a más compañeros por el solo hecho de que ustedes quieren garantizar, con el cierre de esta Cámara, aprobar la militarización del país y por eso no quieren que más diputados de oposición lleguen a este pleno. "
5606,"Compañeros, por favor tomen sus asientos. Ya tendremos ocasión de discutir el Presupuesto pacíficamente. Le doy la palabra al diputado Ismael Rodríguez."
5607," Amigas, amigos legisladores. Señor presidente.  El día 20 de diciembre le mandamos un oficio de manera respetuosa, como siempre ha sido la actitud en mi grupo parlamentario. La solicitud que enviamos a la Mesa Directiva a su cargo, presidente, tenía la definición y la petición de generar una rueda de prensa de diferentes organizaciones campesinas de este país."
5608," Por favor, compañero, por favor compañero..."
5609," Está Alcano, está la Central Campesina Cardenista también compañeros, que es afiliada a Morena. Está la UGOCM, está la UGOCP, está la Unión Agrícola Sinaloa Unimos, está la RED, está la CNPR, está el Frente Nacional Revolucionario de Campesinos. Las mujeres..."
5610," Gracias, compañero."
5611," Señor presidente, estamos en una posición respetuosa. Por primera ocasión en la historia del Presupuesto federal de este país, el total de lo que va para el campo..."
5612," Compañero, le pedimos aclaraciones, no discurso, por favor. Tiene la palabra... Se ha agotado su turno."
5613,Están llegando...
5614, Se ha agotado su turno.
5615,... organizaciones de productores de granos de Jalisco.
5616, Gracias. Se ha agotado su turno.
5617,"Compañeras, o vamos por el campo o todas y cada una de las promesas que ustedes adquirieron durante la campaña y ahora no les estamos dando respuesta a los campesinos de..."
5618," Está en el Reglamento. Perdón, está en el Reglamento. Que concluya."
5619, Es una traición al campo.
5620, No se enojen.
5621, El campo es primero. El campo es primero. El campo es primero. El campo es primero.
5622," Gracias, compañero. Gracias. No. Ha pedido la palabra... Ya se tomó su tiempo. Tiene la palabra el diputado Tonatiuh Bravo. Bueno, tiene un minuto para terminar, un minuto, por favor."
5623,"Amigas, amigos, es nuestra oportunidad histórica de darle una respuesta al campo mexicano, hagámoslo unidos, sin distingo de partidos políticos, ahí está la pobreza, luchemos a favor de los más pobres, demostrémoslo en el presupuesto. Fuera líneas del presupuesto para el campo."
5624," Señores, por favor. El diputado no solo tuvo oreja sino tribuna. Con lo que escuchamos su proclama como secretario de Agricultura de la Cámara de Diputados. Por favor, Tonatiuh."
5625," Gracias, presidente. Espero a que haya un mínimo orden en la sala para poder hablar."
5626," Por favor, tiene la palabra el diputado Tonatiuh Bravo. Escuchen al orador, esas riñas escolares no sirven para nada."
5627," Legisladoras, legisladores, a nombre del Grupo Parlamentario de Movimiento Ciudadano queremos solicitar..."
5628," Por favor, escuchen al orador."
5629,"A nombre del Grupo Parlamentario de Movimiento Ciudadano, queremos hacer pública nuestra protesta por el trato que personal de seguridad de la Cámara le dio el día de ayer a la diputada Martha Tagle y a ciudadanos que venían a participar a la Comisión de Puntos Constitucionales."
5630,"Está anotado el diputado Lixa, que tuvo el mismo tratamiento, desde su curul. Por favor, Elías Lixa. Sí, pero son los actores del proceso, son quienes participaron en el problema. Ahora hablará el jefe de su bancada. Gracias."
5631," Muchas gracias, presidente. Me dirijo a esta asamblea, diputadas y diputados, con un extrañamiento particular hacia el grupo de mayoría, pero a todos los diputados. "
5632," Están inscritos, el diputado Brasil Acosta, que es el jefe del grupo Antorcha Campesina. Luego daré la palabra al coordinador de Morena que ha sido aludido, y luego se acabó el tema. Gracias. "
5633," (desde la curul): Presidente, presidente."
5634," Por favor, no es un problema de mujeres ahora."
5635," Bueno. Con su permiso, presidente. Solo para aclarar de manera respetuosa. El Movimiento Antorchista no está haciendo ninguna manifestación violenta. El Movimiento Antorchista hará una manifestación a las 4 de la tarde de 50 mil personas. Nosotros no queremos moches, queremos obras para el pueblo pobre. Agua, drenaje, pavimentaciones, hospitales. Eso es lo que nosotros queremos."
5636," Compañero. Tiene la palabra Mario Delgado. Ahí viene su coordinador. Ya lo oí, va a empezar el orador en la tribuna y le daré su oportunidad, compañero, por favor."
5637,"Gracias, presidente, con su venia. Hace apenas un par de días nos reunimos los coordinadores parlamentarios con motivo de los incidentes en la discusión de la Ley de Ingresos e hicimos un firme compromiso de transmitir a los grupos parlamentarios que deberíamos conducirnos con respeto, que deberíamos escucharnos y actuar con civilidad en este pleno. Yo quiero recordar ese compromiso para que lo cumplamos y podamos avanzar en las tareas
fundamentales de esta Cámara de Diputados."
5638," Gracias. El asunto se ha concluido. Proceda la Secretaría a dar cuenta... No, por favor, ya estamos en otro punto."
5639, Proceda la Secretaría a dar cuenta con la declaratoria de publicidad de dictámenes.
5640," Se informa a la asamblea que se encuentran publicados en la Gaceta Parlamentaria y disponibles en el monitor de sus curules, los siguientes dictámenes:"
5641," De conformidad con el artículo 87 del Reglamento de la Cámara de Diputado, se cumple con la declaratoria de publicidad."
5642," El siguiente punto del orden del día, es la discusión del dictamen de la Comisión de Régimen, Reglamentos y Prácticas Parlamentarias con proyecto de decreto por el que la LXIV Legislatura de la Cámara de Diputados otorga la Medalla de Honor Gilberto Rincón Gallardo, con dispensa de trámite. Tiene la palabra, por diez minutos el diputado Jorge Luis Preciado Rodríguez."
5643," Con gusto, señor presidente, voy a dar lectura al dictamen. Solo presidente, me preguntan algunos diputados que, si se autorizó por parte de la Mesa Directiva que ingresara la Policía Federal a las instalaciones de la Cámara, traen algunos videos, solo para que revise ese tema, porque no tenemos conocimiento de ello."
5644," Gracias, diputado."
5645," Tiene la palabra la diputada Beatriz Manrique Guevara, del Partido Verde Ecologista."
5646," Gracias, presidente. Con su venia. Compañeras y compañeros, en representación del Grupo Parlamentario del Partido Verde, me gustaría iniciar reconociendo la labor de la Comisión de Régimen, Reglamentos y Prácticas Parlamentarias y a la Comisión de Atención a Grupos Vulnerables, al emitir la opinión de idoneidad. Ambas elaboradas con amplio profesionalismo y conocimiento de la importancia de la medalla Gilberto Rincón Gallardo."
5647," Tiene la palabra la diputada Lilia Villafuerte Zavala, del Partido de la Revolución Democrática."
5648," Gracias, presidente. Ninguna discapacidad corpórea es limitante a los sueños cuando se cuenta con la valentía para liberar el espíritu. Neil Marcus."
5649, Gracias.
5650," Tiene la palabra, la diputada Dulce María Méndez de la Luz, de Movimiento Ciudadano."
5651," Con su venia, presidente. El otorgamiento de la Medalla de Honor Gilberto Rincón Gallardo, tiene la finalidad de reconocer el trabajo de ciudadanas, ciudadanos mexicanos u organizaciones de la sociedad civil, que por su actuación y trayectoria destacan por el fomento y la protección e impulso por la inclusión y defensa de los derechos humanos de las personas con discapacidad."
5652, Muchas gracias.
5653," Tiene la palabra la diputada Maribel Martínez Ruiz, del Partido del Trabajo."
5654," Con su venia, diputado presidente. Compañeras, compañeros diputados, reconocido ampliamente por su contribución al desarrollo democrático en nuestra nación y su lucha por erradicar la discriminación, y de manera particular por sus esfuerzos en pro de garantizar la inclusión social y los derechos de las personas con discapacidad en nuestro país, lucha que también realizó a nivel internacional, el año pasado esta honorable Cámara de Diputados decidió
instituir una presea en memoria de Gilberto Rincón Gallardo."
